제품코드,제품명,제품명(짧은),보관창고,생산일자,보관상태,재고,유통기한(%),대분류,중분류
2155,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 6шт БЫК,LProduct,1062026,Good,950,52.6,PIE,Chocopie
28,"Напиток безалкогольный газированный ""Милкис банан"" (""Milkis","""Милкис банан"" (""Milkis Banana""), 250мл",LProduct,16072027,Good,945,83.61,Beverage,Milkis
1682,Печенье прослоенное глазированное «Лотте Чоклэт пай с аромат,ЧокЛэт пай с ароматом банана 12 шт.,LProduct,2092026,Good,943,78.08,PIE,Chocopie
51,"Напиток безалкогольный газированный ""Милкис дыня"" (""Milkis M","""Милкис дыня"" (""Milkis Muskmelon""), 250мл",LProduct,11062027,Good,891,77.67,Beverage,Milkis
39,"Напиток безалкогольный негазированный ""Aloe Vera Original"" (","""Aloe Vera Original"" ( Алоэ Вера Оригинальный),240мл",LProduct,17072026,Good,816,33.06,Beverage,Aloe
2142,Пирожное глазированное с кремовой прослойкой «AMANTE» со вку,AMANTE 6 шт,LProduct,20102026,Good,793,91.23,PIE,Amante
41,"Напиток безалкогольный негазированный ""Aloe Vera Pomegranate","""Aloe Vera Pomegranate"" (Алоэ Вера Гранат),240мл",LProduct,14082026,Good,680,36.94,Beverage,Aloe
28,"Напиток безалкогольный газированный ""Милкис банан"" (""Milkis","""Милкис банан"" (""Milkis Banana""), 250мл",LProduct,21052027,Good,669,75.83,Beverage,Milkis
112,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай12(печеньепрослоенноеглазированное)пачка336г,LProduct,3072026,Good,666,61.37,PIE,Chocopie
1675,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ КАКАО"" (Lot",ЧокопайКАКАО 6 шт Печеньепрослоенноеглазированное пачка168г,LProduct,21102026,Good,654,91.51,PIE,Chocopie
29,"Напиток безалкогольный газированный ""Милкис виноград"" (""Milk","""Милкис виноград"" (""Milkis Grape""),250мл",LProduct,20082027,Good,626,88.47,Beverage,Milkis
40,"Напиток безалкогольный негазированный ""Aloe Vera Mango"" (Ало","""Aloe Vera Mango"" (Алоэ Вера Манго),240мл",LProduct,14082026,Good,612,36.94,Beverage,Aloe
2162,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ КАКАО»,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ КАКАО»,LProduct,19062026,Good,591,57.53,PIE,Chocopie
2161,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» (LOTTE,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» 336г (,LProduct,10062026,Good,582,55.07,PIE,Chocopie
26,"Напиток безалкогольный газированный ""Милкис клубника"" (""Milk","""Милкис клубника"" (""Milkis Strawberry""),250мл",LProduct,29102026,Good,561,47.5,Beverage,Milkis
2105,Карамель с ореховой начинкой с ароматом ванили переслоенной,Карамель «Лотте Стаккато ЛЯ» 1 кг,LProduct,12082026,Good,550,97.78,Candy,LotteCar
72,"Напиток безалкогольный газированный ""Милкис zero"" (""Milkis z","""Милкис zero"" (""Milkis zero""), 250мл",LProduct,1082026,Good,543,35.14,Beverage,Milkis
30,"Напиток безалкогольный газированный ""Милкис персик"" (""Milkis","""Милкис персик"" (""Milkis Peach""),250мл",LProduct,19122026,Good,533,54.58,Beverage,Milkis
2142,Пирожное глазированное с кремовой прослойкой «AMANTE» со вку,AMANTE 6 шт,LProduct,19102026,Good,533,90.96,PIE,Amante
1689,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКЛЭТ ПАЙ СО ВКУС","""ЛОТТЕ ЧОК ЛЭТ ПАЙ СО ВКУСОМ КЛУБНИКИ "" 168г (28г х 6шт)",LProduct,9062026,Good,521,54.79,PIE,Chocopie
2103,Карамель с ореховой начинкой с ароматом сгущённого молока пе,Карамель «Лотте Стаккато МИ» 1 кг,LProduct,17082026,Good,512,99.63,Candy,LotteCar
2105,Карамель с ореховой начинкой с ароматом ванили переслоенной,Карамель «Лотте Стаккато ЛЯ» 1 кг,LProduct,11082026,Good,512,97.41,Candy,LotteCar
19,"Соломка с шоколадом ""Пеперо Классический""(Pepero Original),4",ПепероОригинал конд,LProduct,12102026,Good,476,89.04,Chocolate,Pepero
